dataset,transition,n_fixed_mut,n_100,r_100,n_95,cut_95,r_95,n_90,cut_90,r_90,excluded
Limdi rep,REL606 green -> red,0,3499,0.9526,3325,-0.2468,0.8672,3150,-0.0851,0.6499,
Limdi rep,REL607 green -> red,0,3509,0.9661,3334,-0.2828,0.9088,3159,-0.1045,0.707,
Limdi control,REL606 -> REL607,0,3466,0.9554,3293,-0.2369,0.8365,3120,-0.07793,0.5499,
Limdi Ara-1,REL606 -> Ara-1,1100,3441,0.8686,3269,-0.2369,0.5636,3097,-0.07776,0.2935,
Limdi Ara-2,REL606 -> Ara-2,1000,3361,0.5317,3193,-0.2388,0.008026,3025,-0.0806,-0.08119,sweeping mutants bias assay
Limdi Ara-3,REL606 -> Ara-3,800,3230,0.891,3069,-0.2559,0.674,2907,-0.09188,0.3196,
Limdi Ara-4,REL606 -> Ara-4,1300,3309,0.8965,3144,-0.2455,0.6758,2979,-0.07776,0.3141,
Limdi Ara-5,REL606 -> Ara-5,90,3411,0.9054,3241,-0.2327,0.6819,3070,-0.07078,0.3417,
Limdi Ara-6,REL606 -> Ara-6,90,3366,0.812,3198,-0.2387,0.6347,3030,-0.07793,0.3199,
Limdi Ara+1,REL607 -> Ara+1,125,3288,0.8892,3124,-0.2753,0.6499,2960,-0.09648,0.2725,
Limdi Ara+2,REL607 -> Ara+2,70,3376,0.8862,3208,-0.2853,0.6498,3039,-0.09506,0.2931,
Limdi Ara+3,REL607 -> Ara+3,1800,3395,0.8679,3226,-0.284,0.6421,3056,-0.09545,0.2842,
Limdi Ara+4,REL607 -> Ara+4,70,3318,0.7287,3153,-0.2863,0.3652,2987,-0.09784,0.1293,poor technical replicates
Limdi Ara+5,REL607 -> Ara+5,80,3346,0.8884,3179,-0.284,0.6246,3012,-0.09545,0.2302,
Limdi Ara+6,REL607 -> Ara+6,2600,3373,0.82,3205,-0.2753,0.5016,3036,-0.09368,0.1322,
