dataset,transition,mean_early,mean_late,rel_diff
Asc GHI,R -> L,-0.004432,-0.002347,0.4704
Asc GHI,R -> S,-0.004432,-0.005032,0.1352
Asc MNO,R -> L,-0.003871,-0.002989,0.2281
Asc MNO,R -> S,-0.003871,-0.003143,0.1882
Asc PQT,R -> L,-0.005902,-0.002393,0.5945
Asc PQT,R -> S,-0.005902,-0.002802,0.5252
Asc SLR,R -> L,-0.006359,-0.003934,0.3813
Asc SLR,R -> S,-0.006359,-0.005463,0.1409
Couce Ara+2,0K -> 2K,-0.005875,-0.007078,0.2047
Couce Ara+2,2K -> 15K,-0.007078,-0.007138,0.008432
Limdi Ara-1,REL606 -> Ara-1,-0.03034,-0.03214,0.05917
Limdi Ara-2,REL606 -> Ara-2,-0.03034,-0.007219,0.7621
Limdi Ara-3,REL606 -> Ara-3,-0.03034,-0.04263,0.405
Limdi Ara-4,REL606 -> Ara-4,-0.03034,-0.02972,0.02048
Limdi Ara-5,REL606 -> Ara-5,-0.03034,-0.03016,0.006149
Limdi Ara-6,REL606 -> Ara-6,-0.03034,-0.02384,0.2143
Limdi Ara+1,REL607 -> Ara+1,-0.03248,-0.02763,0.1492
Limdi Ara+2,REL607 -> Ara+2,-0.03248,-0.03306,0.01809
Limdi Ara+3,REL607 -> Ara+3,-0.03248,-0.03961,0.2196
Limdi Ara+4,REL607 -> Ara+4,-0.03248,-0.08056,1.48
Limdi Ara+5,REL607 -> Ara+5,-0.03248,-0.03213,0.01075
Limdi Ara+6,REL607 -> Ara+6,-0.03248,-0.04637,0.4276
