dataset,transition,n_fixed,pearson_r,log_pearson_r,p_over_N,n
Asc GHI,R -> L,150,0.565781,-0.569547,0.0018984916,2211
Asc GHI,R -> S,150,0.366036,-1.00502,0.0033500774,2790
Asc MNO,R -> L,150,0.379248,-0.969565,0.003231882,2288
Asc MNO,R -> S,150,0.473452,-0.747706,0.0024923521,2842
Asc PQT,R -> L,150,0.121706,-2.10615,0.0070204863,2238
Asc PQT,R -> S,150,0.431691,-0.840045,0.002800151,2818
Asc SLR,R -> L,150,0.29019,-1.23722,0.0041240658,2329
Asc SLR,R -> S,150,0.314378,-1.15716,0.0038572025,2914
Couce Ara+2,0K -> 2K,8,0.458007,-0.780872,0.048804494,5543
Couce Ara+2,2K -> 15K,22,0.38312,-0.959406,0.021804685,4531
Limdi Ara-1,REL606 -> Ara-1,1100,0.047593,-3.04507,0.0013841226,2938
Limdi Ara-2,REL606 -> Ara-2,1000,0.00809394,-4.81664,0.0024083199,2829
Limdi Ara-3,REL606 -> Ara-3,800,0.0280055,-3.57535,0.0022345966,2729
Limdi Ara-4,REL606 -> Ara-4,1300,0.00771996,-4.86395,0.0018707483,2761
Limdi Ara-5,REL606 -> Ara-5,90,0.181712,-1.70533,0.0094740726,2898
Limdi Ara-6,REL606 -> Ara-6,90,0.0304772,-3.49078,0.019393196,2842
Limdi Ara+1,REL607 -> Ara+1,125,0.0501932,-2.99188,0.011967505,2755
Limdi Ara+2,REL607 -> Ara+2,70,0.0336756,-3.39098,0.024221296,2856
Limdi Ara+3,REL607 -> Ara+3,1800,0.034736,-3.35998,0.0009333273,2884
Limdi Ara+4,REL607 -> Ara+4,70,0.0115138,-4.46421,0.031887214,2772
Limdi Ara+5,REL607 -> Ara+5,80,0.106291,-2.24158,0.014009846,2782
Limdi Ara+6,REL607 -> Ara+6,2600,0.0667609,-2.70664,0.00052050719,2890
