dataset,p/N
Asc GHI L,0.0011735696
Asc GHI R,0.0022161402
Asc GHI S,0.0025158213
Asc MNO L,0.0014942562
Asc MNO R,0.0019357446
Asc MNO S,0.0015713729
Asc PQT L,0.001196669
Asc PQT R,0.0029511491
Asc PQT S,0.0014011545
Asc SLR L,0.0019671294
Asc SLR R,0.0031794612
Asc SLR S,0.0027313221
Couce REL607 / 0K,0.0029348552
Couce Ara+2 2K,0.003534855
Couce Ara+2 15K,0.0035706745
Limdi REL606,0.015171575
Limdi REL607,0.016238451
Limdi Ara-1,0.016069211
Limdi Ara-2,0.0036093503
Limdi Ara-3,0.021315667
Limdi Ara-4,0.014860802
Limdi Ara-5,0.015078284
Limdi Ara-6,0.011920904
Limdi Ara+1,0.013815571
Limdi Ara+2,0.016532229
Limdi Ara+3,0.019803623
Limdi Ara+4,0.040277532
Limdi Ara+5,0.016063928
Limdi Ara+6,0.023182694
