dataset,p_l,p_h
Asc GHI L,4.6942785,5.2810633
Asc GHI R,8.8645608,9.9726309
Asc GHI S,10.063285,11.321196
Asc MNO L,5.9770249,6.7241531
Asc MNO R,7.7429784,8.7108507
Asc MNO S,6.2854917,7.0711782
Asc PQT L,4.7866758,5.3850103
Asc PQT R,11.804597,13.280171
Asc PQT S,5.6046181,6.3051954
Asc SLR L,7.8685177,8.8520824
Asc SLR R,12.717845,14.307575
Asc SLR S,10.925288,12.290949
Couce REL607 / 0K,11.739421,13.206848
Couce Ara+2 2K,14.13942,15.906847
Couce Ara+2 15K,14.282698,16.068035
Limdi REL606,60.686299,68.272087
Limdi REL607,64.953804,73.073029
Limdi Ara-1,64.276844,72.31145
Limdi Ara-2,14.437401,16.242076
Limdi Ara-3,85.262667,95.9205
Limdi Ara-4,59.443207,66.873607
Limdi Ara-5,60.313137,67.852279
Limdi Ara-6,47.683616,53.644068
Limdi Ara+1,55.262284,62.17007
Limdi Ara+2,66.128917,74.395031
Limdi Ara+3,79.214494,89.116306
Limdi Ara+4,161.11013,181.24889
Limdi Ara+5,64.25571,72.287674
Limdi Ara+6,92.730778,104.32212
