dataset,n,n_lo,n_hi,sigma,sigma_lo,sigma_hi,r,r_lo,r_hi,s0,tau,tau_lo,tau_hi,n_e,floor_frac,identified
Couce 0K,4.24737,3.55416,4.92631,0.0419047,0.038327,0.0456709,0.332401,0.304687,0.362484,0.0552451,5.4405,4.58285,6.46423,0.138675,0,True
Couce 2K,3.02652,2.7786,3.30423,0.058739,0.0562887,0.0615994,0.211973,0.202404,0.222095,0.0224663,2.35235,2.15312,2.56926,0.31507,0,True
Asc GHI L,1.8,1.8,2.63304,0.0407369,0.0308167,0.0463876,0.252803,0.225903,0.338589,0.0319547,4.70928,3.75742,8.26923,0.0411049,0.00333333,True
Asc GHI R,8.63521,2.50794,12.9107,0.0268032,0.021579,0.0504488,0.543628,0.271299,0.65896,0.147766,14.0698,3.88153,20.4291,0.0896913,0.123333,True
Asc GHI S,11.7488,1.83426,20.4355,0.0268557,0.0198039,0.0687707,0.323887,0.103315,0.432217,0.0524514,7.09869,0.997354,12.5403,0.456088,0.00333333,True
Asc MNO L,1.8,1.8,1.8,0.0510765,0.0476909,0.0544213,0.11952,0.108857,0.131111,0.00714252,1.64298,1.43567,1.87704,0.25409,0,True
Asc MNO R,10.4424,2.41375,35.1411,0.024913,0.0132542,0.0524527,0.339141,0.147682,0.659033,0.0575084,8.50746,1.91797,30.9578,0.28615,0.05,True
Asc MNO S,1.8,1.8,1.8,0.0453188,0.0411229,0.0494236,0.189386,0.174125,0.202341,0.0179335,3.09775,2.7599,3.51507,0.0882173,0,True
Asc PQT L,1.8,1.8,1.8,0.0429372,0.0374184,0.0479992,0.192596,0.173557,0.213632,0.0185466,3.3412,2.7037,4.27389,0.0770697,0,True
Asc PQT R,10.4563,5.88527,16.3258,0.0304151,0.0258144,0.039647,0.779064,0.599612,0.877833,0.303471,17.8137,10.6343,22.801,0.0826635,0.126667,False
Asc PQT S,1.8,1.8,1.8,0.0471239,0.0442715,0.0499491,0.0933407,0.078413,0.104226,0.00435624,1.3611,1.12515,1.55568,0.335864,0,True
REL606,1.8,1.8,1.8,0.0700753,0.065527,0.0751329,0.206523,0.19439,0.216973,0.0213259,2.12173,1.86909,2.37766,0.169001,0,True
REL607,2.98101,1.8149,3.64147,0.0553037,0.0490426,0.071535,0.338646,0.257061,0.379296,0.0573404,4.32725,2.58503,5.33269,0.113969,0,True
