dataset,transition,pearson_r,n_fixed,n,p_over_N_corr,mean_dfe,p_over_N_mean,p_corr_N4000,p_mean_N4000,ratio_corr_mean
Asc GHI,R -> L,0.5658,150,2211,0.001898,-0.004432,0.002216,7.594,8.865,0.8567
Asc GHI,R -> S,0.366,150,2790,0.00335,-0.004432,0.002216,13.4,8.865,1.512
Asc MNO,R -> L,0.3792,150,2288,0.003232,-0.003871,0.001936,12.93,7.743,1.67
Asc MNO,R -> S,0.4735,150,2842,0.002492,-0.003871,0.001936,9.969,7.743,1.288
Asc PQT,R -> L,0.1217,150,2238,0.00702,-0.005902,0.002951,28.08,11.8,2.379
Asc PQT,R -> S,0.4317,150,2818,0.0028,-0.005902,0.002951,11.2,11.8,0.9488
Asc SLR,R -> L,0.2902,150,2329,0.004124,-0.006359,0.003179,16.5,12.72,1.297
Asc SLR,R -> S,0.3144,150,2914,0.003857,-0.006359,0.003179,15.43,12.72,1.213
Couce Ara+2,0K -> 2K,0.458,8,5543,0.0488,-0.005875,0.002938,195.2,11.75,16.61
Couce Ara+2,2K -> 15K,0.3831,22,4531,0.0218,-0.007078,0.003539,87.22,14.16,6.161
Limdi Ara-1,REL606 -> Ara-1,0.04759,1100,2938,0.001384,-0.03037,0.01519,5.536,60.74,0.09115
Limdi Ara-2,REL606 -> Ara-2,0.008094,1000,2829,0.002408,-0.03037,0.01519,9.633,60.74,0.1586
Limdi Ara-3,REL606 -> Ara-3,0.02801,800,2729,0.002235,-0.03037,0.01519,8.938,60.74,0.1472
Limdi Ara-4,REL606 -> Ara-4,0.00772,1300,2761,0.001871,-0.03037,0.01519,7.483,60.74,0.1232
Limdi Ara-5,REL606 -> Ara-5,0.1817,90,2898,0.009474,-0.03037,0.01519,37.9,60.74,0.6239
Limdi Ara-6,REL606 -> Ara-6,0.03048,90,2842,0.01939,-0.03037,0.01519,77.57,60.74,1.277
Limdi Ara+1,REL607 -> Ara+1,0.05019,125,2755,0.01197,-0.03222,0.01611,47.87,64.44,0.7428
Limdi Ara+2,REL607 -> Ara+2,0.03368,70,2856,0.02422,-0.03222,0.01611,96.89,64.44,1.503
Limdi Ara+3,REL607 -> Ara+3,0.03474,1800,2884,0.0009333,-0.03222,0.01611,3.733,64.44,0.05793
Limdi Ara+4,REL607 -> Ara+4,0.01151,70,2772,0.03189,-0.03222,0.01611,127.5,64.44,1.979
Limdi Ara+5,REL607 -> Ara+5,0.1063,80,2782,0.01401,-0.03222,0.01611,56.04,64.44,0.8696
Limdi Ara+6,REL607 -> Ara+6,0.06676,2600,2890,0.0005205,-0.03222,0.01611,2.082,64.44,0.03231
