experiment,media,description,comparison,n_100,r_100,r_100_null,r_100_w,n_95,cut_95,r_95,r_95_null,n_90,cut_90,r_90,r_90_null,f95,f90
SLR,DM25,1:100/24h full cycle,REL606 rep1 vs rep2,3013,0.7466,0.835,0.9608,2863,0.0368,0.4227,0.6396,2712,0.02339,0.3026,0.5523,1,1
SLR,DM25,1:100/24h full cycle,S rep1 vs rep2,3025,0.7828,0.8456,0.642,2874,0.02401,0.2998,0.57,2723,0.01578,0.2078,0.4936,0.7093,0.6868
SLR,DM25,1:100/24h full cycle,L rep1 vs rep2,2329,0.5036,0.7455,0.5951,2213,0.02405,0.1982,0.536,2097,0.01638,0.1569,0.4815,0.4689,0.5185
SLR,DM25,1:100/24h full cycle,REL606 -> S,2914,0.3144,0.8345,0.05606,2769,0.0286,0.04844,0.6028,2623,0.01761,0.01387,0.5275,0.1146,0.04583
SLR,DM25,1:100/24h full cycle,REL606 -> L,2329,0.2902,0.8416,0.1,2213,0.02325,0.04213,0.6047,2097,0.01495,0.03659,0.5423,0.09967,0.1209
GHI,DM2000-acetate,variable/24h exp only,REL606 rep1 vs rep2,2935,0.8996,0.8763,0.9596,2789,0.03301,0.5586,0.5336,2642,0.02048,0.4432,0.4441,1,1
GHI,DM2000-acetate,variable/24h exp only,S rep1 vs rep2,2915,0.8909,0.9064,0.9335,2770,0.02599,0.5987,0.6188,2624,0.01408,0.4462,0.5065,1.072,1.007
GHI,DM2000-acetate,variable/24h exp only,L rep1 vs rep2,2232,0.9503,0.958,0.9501,2121,0.02684,0.692,0.7663,2009,0.01433,0.5655,0.6656,1.239,1.276
GHI,DM2000-acetate,variable/24h exp only,REL606 -> S,2790,0.366,0.874,0.4511,2651,0.02734,0.1186,0.5288,2511,0.01671,0.01864,0.4483,0.2123,0.04207
GHI,DM2000-acetate,variable/24h exp only,REL606 -> L,2211,0.5658,0.9324,0.3545,2101,0.02316,0.1574,0.6751,1990,0.01411,0.1247,0.581,0.2818,0.2813
MNO,DM27.8,1:10/24h long stat,REL606 rep1 vs rep2,2959,0.944,0.9326,0.9721,2812,0.02685,0.7565,0.7485,2664,0.01493,0.5904,0.6123,1,1
MNO,DM27.8,1:10/24h long stat,S rep1 vs rep2,2971,0.9535,0.9505,0.9251,2823,0.02237,0.6591,0.6847,2674,0.01089,0.4949,0.5652,0.8712,0.8382
MNO,DM27.8,1:10/24h long stat,L rep1 vs rep2,2301,0.8588,0.9142,0.829,2186,0.02048,0.6209,0.7383,2071,0.01319,0.5338,0.6714,0.8208,0.9042
MNO,DM27.8,1:10/24h long stat,REL606 -> S,2842,0.4735,0.9317,0.1306,2700,0.02225,0.1646,0.7079,2558,0.01215,0.1354,0.5957,0.2175,0.2293
MNO,DM27.8,1:10/24h long stat,REL606 -> L,2288,0.3792,0.9272,0.1782,2174,0.01804,0.06847,0.7267,2060,0.009733,0.05261,0.6316,0.0905,0.08912
PQT,DM25,1:100/5-8h exp only,REL606 rep1 vs rep2,2925,0.7947,0.7639,0.9697,2779,0.05921,0.4455,0.4677,2633,0.03797,0.3714,0.3959,1,1
PQT,DM25,1:100/5-8h exp only,S rep1 vs rep2,2962,0.8249,0.8762,0.6672,2814,0.01855,0.3071,0.5427,2666,0.01229,0.2419,0.4795,0.6893,0.6514
PQT,DM25,1:100/5-8h exp only,L rep1 vs rep2,2257,0.6778,0.8437,0.7265,2145,0.02567,0.2937,0.5963,2032,0.01664,0.2328,0.525,0.6592,0.6267
PQT,DM25,1:100/5-8h exp only,REL606 -> S,2818,0.4317,0.727,-0.002948,2678,0.05083,0.05285,0.3139,2537,0.03137,0.02072,0.275,0.1186,0.05579
PQT,DM25,1:100/5-8h exp only,REL606 -> L,2238,0.1217,0.78,0.06225,2127,0.03997,0.07855,0.4821,2015,0.02659,0.05038,0.4208,0.1763,0.1357
U,DM25,1:100/24h full cycle 8d,REL606 rep1 vs rep2,2971,0.7304,0.9314,0.989,2823,0.03706,0.4161,0.8715,2674,0.02414,0.2941,0.8254,1,1
U,DM25,1:100/24h full cycle 8d,REL606 rep3 vs rep4,2972,0.7646,0.9357,0.9904,2824,0.03627,0.3966,0.8692,2675,0.02293,0.255,0.8264,0.9533,0.8671
