dataset,n,n_lo,n_hi,sigma,sigma_lo,sigma_hi,r,r_lo,r_hi,tau,tau_lo,tau_hi,n_e,identified
Couce 0K,4.22663,3.55675,4.91341,0.0420074,0.0383847,0.0456829,0.331561,0.304149,0.362763,5.41457,4.57238,6.44966,0.138675,True
Couce 2K,3.04398,2.77906,3.30834,0.0585703,0.0562387,0.0616113,0.212654,0.202613,0.22209,2.36563,2.15477,2.56826,0.31507,True
Asc GHI L,1.02404,1,2.34622,0.0540088,0.0322899,0.0605858,0.188984,0.172935,0.331442,2.78427,2.37825,7.72547,0.0411049,True
Asc GHI R,9.55679,3.53218,12.951,0.0254781,0.0213688,0.0438244,0.572191,0.324948,0.659165,15.5547,5.28149,20.7892,0.0896913,True
Asc GHI S,11.8606,1.02453,20.528,0.0267289,0.0197163,0.0906483,0.325486,0.06793,0.432367,7.1663,0.589638,12.617,0.456088,True
Asc MNO L,1,1,1,0.0685263,0.063984,0.0730138,0.0830218,0.0744138,0.0918862,nan,nan,nan,0.25409,True
Asc MNO R,9.8453,2.74362,33.9604,0.0256573,0.0133479,0.0495605,0.329021,0.151161,0.655807,8.02383,2.03156,30.951,0.28615,True
Asc MNO S,1,1,1,0.0608016,0.0551722,0.0663087,0.138219,0.126584,0.148368,nan,nan,nan,0.0882173,True
REL606,1,1,1.00817,0.0940159,0.0879137,0.100542,0.147415,0.137901,0.156128,nan,1.06345,1.35805,0.169001,True
Ara-1,1,1,1,0.0864031,0.0796559,0.0929032,0.176548,0.165707,0.187682,nan,nan,nan,0.10695,True
Ara-3,1,1,1,0.0998535,0.0888897,0.108964,0.233417,0.221381,0.248828,nan,nan,nan,0.0838313,True
Ara-4,1,1,1,0.0653825,0.0529467,0.0751717,0.234919,0.211865,0.274228,nan,nan,nan,0.0372868,True
Ara-5,1,1,1,0.0802402,0.0727115,0.0878945,0.182885,0.169233,0.19688,nan,nan,nan,0.0877985,True
Ara-6,1,1,1,0.0648849,0.0554712,0.0728907,0.228213,0.203014,0.263631,nan,2.24782,2.47969,0.0388481,True
REL607,2.98227,1.72609,3.65151,0.0552921,0.0491128,0.0734476,0.33872,0.25156,0.379511,4.32901,2.522,5.33263,0.113969,True
Ara+1,1,1,1,0.0894336,0.0824208,0.0962917,0.157749,0.147956,0.167957,nan,nan,nan,0.138457,True
Ara+2,1.28351,1.08429,1.48393,0.0966933,0.0890706,0.106459,0.154411,0.140285,0.168592,1.18987,1.01517,1.37298,0.258062,True
Ara+3,1,1,1,0.11394,0.105914,0.121897,0.203518,0.192218,0.215386,nan,nan,nan,0.135485,True
Ara+4,4.34885,3.97214,4.80553,0.140218,0.132307,0.147535,0.325727,0.304514,0.345068,1.17673,1.0526,1.30773,1.24905,True
Ara+5,1,1,1,0.0874683,0.0791757,0.0948806,0.182954,0.170015,0.197279,nan,nan,nan,0.102563,True
Ara+6,3.03994,2.34034,3.59365,0.0893459,0.0806229,0.103466,0.304807,0.25923,0.333634,2.19774,1.64614,2.61789,0.35115,True
