arm,lineage,transition,t,r_real,ln_r_real,tau_anc,tau_obs,ln_r_exp,r_exp,ratio_anc_obs
Ara+,Couce,0K -> 2K,8,0.458,-0.780886,8.27172,10.2448,-0.967151,0.380165,0.807409
Ara+,Couce,2K -> 15K,22,0.3831,-0.959459,24.9846,22.9296,-0.880542,0.414558,1.08962
Ara+,Limdi,REL607 -> Ara+1,125,0.05019,-2.99194,4.31011,41.7789,-29.0016,2.53965e-13,0.103165
Ara+,Limdi,REL607 -> Ara+2,70,0.03368,-3.39085,4.31011,20.6438,-16.2409,8.8445e-08,0.208785
Ara+,Limdi,REL607 -> Ara+3,1800,0.03474,-3.35986,4.31011,535.736,-417.623,4.25347e-182,0.00804521
Ara+,Limdi,REL607 -> Ara+4,70,0.01151,-4.46454,4.31011,15.6791,-16.2409,8.8445e-08,0.274895
Ara+,Limdi,REL607 -> Ara+5,80,0.1063,-2.24149,4.31011,35.6905,-18.561,8.69071e-09,0.120763
Ara+,Limdi,REL607 -> Ara+6,2600,0.06676,-2.70665,4.31011,960.597,-603.233,1.04543e-262,0.00448691
Ara-,Limdi,REL606 -> Ara-1,1100,0.04759,-3.04513,1.12682,361.232,-976.199,0,0.00311938
Ara-,Limdi,REL606 -> Ara-2,1000,0.008094,-4.81663,1.12682,207.614,-887.453,0,0.00542748
Ara-,Limdi,REL606 -> Ara-3,800,0.02801,-3.57519,1.12682,223.764,-709.963,4.6471e-309,0.00503575
Ara-,Limdi,REL606 -> Ara-4,1300,0.00772,-4.86394,1.12682,267.273,-1153.69,0,0.00421599
Ara-,Limdi,REL606 -> Ara-5,90,0.1817,-1.7054,1.12682,52.7736,-79.8708,2.0538e-35,0.021352
Ara-,Limdi,REL606 -> Ara-6,90,0.03048,-3.49068,1.12682,25.7829,-79.8708,2.0538e-35,0.0437041
