P00561	thrA
P00547	thrB
P00934	thrC
P75616	yaaX
P0A8I3	yaaA
P30143	yaaJ
P0A870	talB
P0AF03	mog
P0AC98	satP
P75617	yaaW
P28696	yaaI
P0A6Y8	dnaK
P08622	dnaJ
P0ACG4	hokC
P13738	nhaA
P0A9G2	nhaR
P0A7U7	rpsT
P0AG40	ribF
P00956	ileS
P00804	lspA
P0AEM0	fkpB
P62623	ispH
P22564	rihC
P04036	dapB
P0A6F1	carA
P00968	carB
P0AE58	caiF
P39206	caiE
P31551	caiD
P31552	caiC
P60584	caiA
P31553	caiT
P60566	fixA
P31574	fixB
P68644	fixC
P68646	fixX
P31679	yaaU
P0A754	kefF
P03819	kefC
P0ABQ4	folA
P05637	apaH
P62672	apaG
P06992	rsmA
P19624	pdxA
P0ABZ6	surA
P31554	lptD
P31680	djlA
P0AA37	rluA
P60240	rapA
P21189	polB
P08203	araD
P08202	araA
P08204	araB
P0A9E0	araC
P30149	yabI
P31548	thiQ
P31549	thiP
P31550	thiB
P33595	sgrR
C1P5Z7	sgrT
P31675	setA
P30126	leuD
P0A6A6	leuC
P30125	leuB
P09151	leuA
P10151	leuO
P00893	ilvI
P00894	ilvH
P0ACP1	cra
P22186	mraZ
P60390	rsmH
P0AEN4	ftsL
P0AD68	ftsI
P22188	murE
P11880	murF
P0A6W3	mraY
P14900	murD
P0ABG4	ftsW
P17443	murG
P17952	murC
P07862	ddlB
P06136	ftsQ
P0ABH0	ftsA
P0A9A6	ftsZ
P0A725	lpxC
P62395	secM
P10408	secA
P08337	mutT
P0A8H8	yacG
P36680	zapD
P0A6I9	coaE
P60560	guaC
P36646	hofC
P36645	hofB
P36647	ppdD
P30011	nadC
P13016	ampD
P0AE14	ampE
P15993	aroP
P0ACL9	pdhR
P0AFG8	aceE
P06959	aceF
P0A9P0	lpdA
P36682	yacH
P36683	acnB
P0A8E5	yacL
P0A7F6	speD
P09158	speE
P0AA95	yacC
P36649	cueO
P15877	gcd
P0A9M2	hpt
P61517	can
P36879	yadG
P0AFN6	yadH
P36881	yadI
P31666	yadE
P0A790	panD
P31665	rpnC
P31663	panC
P31057	panB
P31058	yadC
P37016	yadK
P37017	yadL
P37018	yadM
P33129	htrE
P33128	yadV
