experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
GHI,R,0.01,-0.01,477,454.5499172830567,0.2
GHI,R,0.010307224065220867,-0.010307224065220867,462,438.6245597745958,0.2
GHI,R,0.010623886793066825,-0.010623886793066825,447,423.2571542140486,0.2
GHI,R,0.010950278161968051,-0.010950278161968051,430,408.42815250800453,0.2
GHI,R,0.011286697059189969,-0.011286697059189969,406,394.1186914391558,0.2
GHI,R,0.011633451554534045,-0.011633451554534045,397,380.3105686713611,0.2
GHI,R,0.011990859182447447,-0.011990859182447447,384,366.9862195953803,0.2
GHI,R,0.012359247232799695,-0.012359247232799695,362,354.1286949858319,0.2
GHI,R,0.01273895305059275,-0.01273895305059275,348,341.72163944094586,0.2
GHI,R,0.013130324344878838,-0.013130324344878838,337,329.7492705776914,0.2
GHI,R,0.013533719507169063,-0.013533719507169063,323,318.19635895581126,0.2
GHI,R,0.013949507939624208,-0.013949507939624208,305,307.0482087052277,0.2
GHI,R,0.014378070393328427,-0.014378070393328427,293,296.29063883217344,0.2
GHI,R,0.014819799316955443,-0.014819799316955443,284,285.9099651802755,0.2
GHI,R,0.0152750992161467,-0.0152750992161467,274,275.8929830236332,0.2
GHI,R,0.015744387023930367,-0.015744387023930367,263,266.2269502697626,0.2
GHI,R,0.01622809248252063,-0.01622809248252063,254,256.8995712510285,0.2
GHI,R,0.01672665853684665,-0.01672665853684665,248,247.89898108395278,0.2
GHI,R,0.017240541740171793,-0.017240541740171793,242,239.2137305765001,0.2
GHI,R,0.01777021267217436,-0.01777021267217436,233,230.83277166414547,0.2
GHI,R,0.018316156369872844,-0.018316156369872844,227,222.7454433561934,0.2
GHI,R,0.01887887277179019,-0.01887887277179019,219,214.94145817447546,0.2
GHI,R,0.01945887717576389,-0.01945887717576389,212,207.41088906717337,0.2
GHI,R,0.020056700710821065,-0.020056700710821065,206,200.1441567811227,0.2
GHI,R,0.020672890823550744,-0.020672890823550744,201,193.13201767653217,0.2
GHI,R,0.02130801177941859,-0.02130801177941859,194,186.36555196862193,0.2
GHI,R,0.0219626451794833,-0.0219626451794833,179,179.83615238121914,0.2
GHI,R,0.022637390492987748,-0.022637390492987748,172,173.5355131978802,0.2
GHI,R,0.02333286560631255,-0.02333286560631255,161,167.45561969661355,0.2
GHI,R,0.0240497073887949,-0.0240497073887949,156,161.58873795475904,0.2
GHI,R,0.02478857227593069,-0.02478857227593069,146,155.92740501105936,0.2
GHI,R,0.025550136870493977,-0.025550136870493977,143,150.46441937240743,0.2
GHI,R,0.02633509856212426,-0.02633509856212426,136,145.1928318531945,0.2
GHI,R,0.027144176165949066,-0.027144176165949066,133,140.10593673560467,0.2
GHI,R,0.02797811058082649,-0.02797811058082649,129,135.19726323961342,0.2
GHI,R,0.028837665467810556,-0.028837665467810556,127,130.4605672918378,0.2
GHI,R,0.02972362794946059,-0.02972362794946059,122,125.88982358276918,0.2
GHI,R,0.030636809330635176,-0.030636809330635176,117,121.4792179022841,0.2
GHI,R,0.03157804584143061,-0.03157804584143061,111,117.22313974368346,0.2
GHI,R,0.03254819940294415,-0.03254819940294415,107,113.11617516685357,0.2
GHI,R,0.03354815841656336,-0.03354815841656336,103,109.15309991146836,0.2
GHI,R,0.034578838577504385,-0.034578838577504385,101,105.32887275147428,0.2
GHI,R,0.03564118371334409,-0.03564118371334409,98,101.63862908240357,0.2
GHI,R,0.03673616664831385,-0.03673616664831385,97,98.07767473335844,0.2
GHI,R,0.03786479009414649,-0.03786479009414649,94,94.64147999579636,0.2
GHI,R,0.03902808756829234,-0.03902808756829234,88,91.32567386151786,0.2
GHI,R,0.04022712434034502,-0.04022712434034502,86,88.1260384625302,0.2
GHI,R,0.04146299840754365,-0.04146299840754365,84,85.03850370571216,0.2
GHI,R,0.04273684150024484,-0.04273684150024484,82,82.05914209545647,0.2
GHI,R,0.04404982011828538,-0.04404982011828538,76,79.18416373770222,0.2
GHI,R,0.045403136599184137,-0.045403136599184137,72,76.40991151900437,0.2
GHI,R,0.0467980302191621,-0.0467980302191621,71,73.73285645450581,0.2
GHI,R,0.04823577832798813,-0.04823577832798813,68,71.14959319889536,0.2
GHI,R,0.04971769751868987,-0.04971769751868987,65,68.6568357146422,0.2
GHI,R,0.0512451448332012,-0.0512451448332012,64,66.25141309199441,0.2
GHI,R,0.052819519005050025,-0.052819519005050025,62,63.93026551542638,0.2
GHI,R,0.05444226174022428,-0.05444226174022428,60,61.6904403714037,0.2
GHI,R,0.05611485903738933,-0.05611485903738933,57,59.52908849251372,0.2
GHI,R,0.0578388425486656,-0.0578388425486656,57,57.44346053318498,0.2
GHI,R,0.059615790982212674,-0.059615790982212674,53,55.43090347238484,0.2
GHI,R,0.061447331547904,-0.061447331547904,52,53.48885723884648,0.2
GHI,R,0.06333514144741619,-0.06333514144741619,52,51.61485145453296,0.2
GHI,R,0.06528094941009757,-0.06528094941009757,51,49.8065022921951,0.2
GHI,R,0.06728653727602237,-0.06728653727602237,48,48.06150944302634,0.2
GHI,R,0.0693537416276799,-0.0693537416276799,47,46.377653190556984,0.2
GHI,R,0.0714844554717933,-0.0714844554717933,47,44.752791587066426,0.2
GHI,R,0.07368062997280773,-0.07368062997280773,47,43.18485772892019,0.2
GHI,R,0.07594427623963579,-0.07594427623963579,43,41.67185712736731,0.2
GHI,R,0.07827746716729557,-0.07827746716729557,42,40.21186517145286,0.2
GHI,R,0.08068233933512857,-0.08068233933512857,42,38.803024679818435,0.2
GHI,R,0.08316109496333533,-0.08316109496333533,42,37.44354353827655,0.2
GHI,R,0.08571600392962078,-0.08571600392962078,41,36.13169242015312,0.2
GHI,R,0.08834940584779542,-0.08834940584779542,39,34.865802586499534,0.2
GHI,R,0.09106371221023628,-0.09106371221023628,38,33.644263763374695,0.2
GHI,R,0.09386140859616947,-0.09386140859616947,35,32.46552209349766,0.2
GHI,R,0.09674505694779667,-0.09674505694779667,34,31.32807815966489,0.2
GHI,R,0.09971729791634937,-0.09971729791634937,32,30.230485077418216,0.2
GHI,R,0.10278085328021949,-0.10278085328021949,30,29.171346654536723,0.2
GHI,R,0.1059385284373814,-0.1059385284373814,28,28.149315615011837,0.2
GHI,R,0.10919321497438628,-0.10919321497438628,27,27.163091885246185,0.2
GHI,R,0.11254789331428304,-0.11254789331428304,25,26.211420940296144,0.2
GHI,R,0.1160056354458889,-0.1160056354458889,24,25.29309220805474,0.2
GHI,R,0.11956960773691055,-0.11956960773691055,23,24.406937529344468,0.2
GHI,R,0.12324307383349037,-0.12324307383349037,23,23.55182967196156,0.2
GHI,R,0.12702939764883447,-0.12702939764883447,22,22.726680896781364,0.2
GHI,R,0.1309320464436578,-0.1309320464436578,22,21.930441574100833,0.2
GHI,R,0.13495459400126866,-0.13495459400126866,21,21.162098848458,0.2
GHI,R,0.1391007239001988,-0.1391007239001988,21,20.420675350230375,0.2
GHI,R,0.14337423288737733,-0.14337423288737733,18,19.705227952372574,0.2
GHI,R,0.14777903435493567,-0.14777903435493567,17,19.014846570712717,0.2
