experiment,background,x_min,requested_x_max,endpoint_count,last_fitted_x,last_fitted_count,mu,loglog_r_squared,selected
GHI,R,0.01,0.15,17,0.15,17,1.182299391021096,0.9975172917418953,False
GHI,R,0.01,0.2,14,0.2,14,1.178585536047782,0.9979393534701251,True
GHI,R,0.01,0.3,2,0.3,2,1.3169341512015493,0.9686084445827262,False
GHI,S,0.01,0.15,4,0.15,4,1.4234527055874018,0.9751948972877393,True
GHI,S,0.01,0.2,0,0.18825501805094585,2,1.5866651980359898,0.9449308891133501,False
GHI,S,0.01,0.3,0,0.19193573380982293,2,1.6025129832241718,0.9441108441953767,False
GHI,L,0.01,0.15,7,0.15,7,1.2248812840334888,0.9768595376426672,True
GHI,L,0.01,0.2,1,0.2,1,1.392086515149303,0.938231666069671,False
GHI,L,0.01,0.3,0,0.23587305809950077,1,1.5350836195766233,0.9139734002788553,False
MNO,R,0.01,0.15,2,0.15,2,1.7187419683792131,0.9633694947627588,True
MNO,R,0.01,0.2,0,0.15231916192382952,2,1.7201072565187598,0.9639384430800281,False
MNO,R,0.01,0.3,0,0.15090822830764894,2,1.7219724471453006,0.9625338652123605,False
MNO,S,0.01,0.15,13,0.15,13,1.1981081985929016,0.992982524114127,False
MNO,S,0.01,0.2,8,0.2,8,1.206034218054577,0.9943872060825312,True
MNO,S,0.01,0.3,2,0.3,2,1.2988156341971953,0.9807119112721588,False
MNO,L,0.01,0.15,0,0.14595250370042698,1,1.923864064376712,0.9173129450659587,True
MNO,L,0.01,0.2,0,0.14777903435493567,1,1.9281725272167503,0.9203136162842294,False
MNO,L,0.01,0.3,0,0.14581174376188957,1,1.9233817622378877,0.9177563961682423,False
PQT,R,0.01,0.15,16,0.15,16,1.4900918010505306,0.9901181537872722,False
PQT,R,0.01,0.2,9,0.2,9,1.5671761780428257,0.9859626884209842,False
PQT,R,0.01,0.3,4,0.3,4,1.649794266860967,0.985722651259121,True
PQT,S,0.01,0.15,5,0.15,5,1.447893388428598,0.9926385602038027,False
PQT,S,0.01,0.2,3,0.2,3,1.4716681304205124,0.9934131611818984,True
PQT,S,0.01,0.3,1,0.3,1,1.5677877316251068,0.9845795400498516,False
PQT,L,0.01,0.15,2,0.15,2,1.5829334484182285,0.972021343383808,True
PQT,L,0.01,0.2,0,0.18264376214170497,1,1.7235638109508598,0.9545113253317655,False
PQT,L,0.01,0.3,0,0.1854536651240349,1,1.7358532305801189,0.953729728143211,False
SLR,R,0.01,0.15,5,0.15,5,1.7317599850896963,0.9862722131420326,True
SLR,R,0.01,0.2,2,0.2,2,1.8294337019016107,0.9818959738142147,False
SLR,R,0.01,0.3,0,0.2526499235430157,1,1.949654686534891,0.9720510368716402,False
SLR,S,0.01,0.15,7,0.15,7,1.4273426815595736,0.9863680061200291,True
SLR,S,0.01,0.2,1,0.2,1,1.6489186651685097,0.929591579547388,False
SLR,S,0.01,0.3,0,0.2706200715783519,1,1.8314397130438365,0.9280100347476757,False
SLR,L,0.01,0.15,1,0.15,1,2.1835384669259685,0.9819057754784551,True
SLR,L,0.01,0.2,0,0.17191802369439674,1,2.191639990495867,0.9838008324003981,False
SLR,L,0.01,0.3,0,0.16729161376778012,1,2.194007482079284,0.9835434092028409,False
