experiment,background,x_min,requested_x_max,endpoint_count,last_fitted_x,last_fitted_count,mu,mu_ci_low,mu_ci_high,loglog_r_squared,n_measured,n_negative,tail_count_at_x_0.01,maximum_deleterious_magnitude
GHI,R,0.01,0.2,14.0,0.2,14.0,1.178585536047782,1.0275083003874825,1.385229776465436,0.9979393534701251,2937,1874,477,0.3363281008565154
GHI,S,0.01,0.15,4.0,0.15,4.0,1.4234527055874018,1.2296964808222537,1.7142352325761916,0.9751948972877393,2915,2403,331,0.193846318374778
GHI,L,0.01,0.15,7.0,0.15,7.0,1.2248812840334888,1.0318520295847362,1.5075402519702024,0.9768595376426672,2245,1119,222,0.2417474794757316
MNO,R,0.01,0.15,2.0,0.15,2.0,1.7187419683792131,1.4635272906718224,2.080142078247358,0.9633694947627588,2959,2291,326,0.1548868342215707
MNO,S,0.01,0.2,8.0,0.2,8.0,1.206034218054577,1.0241088223363772,1.4923879500034336,0.9943872060825312,2971,1261,285,0.3842728151733741
MNO,L,0.01,0.15,0.0,0.14595250370042698,1.0,1.923864064376712,1.4846467580459144,2.076989063209584,0.9173129450659587,2321,1292,274,0.1483205816993044
PQT,R,0.01,0.3,4.0,0.3,4.0,1.649794266860967,1.4653098321884594,1.9503649328659969,0.985722651259121,2926,1910,893,0.4646135484235739
PQT,S,0.01,0.2,3.0,0.2,3.0,1.4716681304205124,1.2072856750773147,1.9110176908163876,0.9934131611818984,2962,1808,248,0.3237618836723026
PQT,L,0.01,0.15,2.0,0.15,2.0,1.5829334484182285,1.3316124655355068,1.934485551836861,0.972021343383808,2274,1199,268,0.1863220603213882
SLR,R,0.01,0.15,5.0,0.15,5.0,1.7317599850896963,1.5270917932190502,2.0668121523108884,0.9862722131420326,3021,2483,658,0.2571538156265933
SLR,S,0.01,0.15,7.0,0.15,7.0,1.4273426815595736,1.244106968475397,1.6988483592353423,0.9863680061200291,3029,2279,417,0.2730616653707449
SLR,L,0.01,0.15,1.0,0.15,1.0,2.1835384669259685,1.7856735588954205,2.5050573219366834,0.9819057754784551,2361,1598,340,0.1725020815003331
ALL_COMMON_FIXED_INTERCEPTS,ALL,0.01,,,,,1.5493587512272213,,,,32921,21517,4739,
ALL_EQUAL_BACKGROUND_MEAN,ALL,0.01,,,,,1.5602163963128433,1.4836244969251382,1.6476039073104138,,32921,21517,4739,
