dataset,lower_cut,N_retained,n,r,sigma,n_sigma2,r_sigma,loglik_conditional,fine_grid_loglik,fine_minus_fit_loglik,success
REL606,-0.25,3327,8.570924137601347,0.3970485393686459,0.014037340483947787,0.0016888742702550028,0.00557350553577183,8830.5046955775,8830.505065078087,0.0003695005871122703,True
REL606,-0.3,3365,8.871289708952544,0.39790605027122095,0.014300474833959015,0.001814210508926854,0.005690245458183626,8723.36474732597,8723.365508685903,0.000761359933676431,True
REL606,-0.35,3398,9.159829967896481,0.3993368482209686,0.014482543156305056,0.001921219892248935,0.005783413138263019,8623.529549261437,8623.531270313391,0.0017210519545187708,True
REL606,-0.4,3421,9.279277341449015,0.39904848899650647,0.014649801854147264,0.0019914878291250396,0.005845981293995685,8547.85741701771,8547.85928353296,0.0018665152492758352,True
REL606,-0.45,3453,9.573695939701516,0.4001855317476219,0.01488514197081286,0.002121219410711836,0.005956818454728589,8442.272685157692,8442.275543903039,0.002858745347111835,True
REL607,-0.25,3307,9.27398087770762,0.5383452424524532,0.013159110673543938,0.0016059028732879948,0.007084144626007675,8286.922915306222,8286.92275467768,-0.00016062854228948709,True
REL607,-0.3,3346,10.013877075965773,0.5477163815120001,0.013189348962135673,0.0017420033016815445,0.007224022488040005,8177.721770858523,8177.723535469272,0.001764610748978157,True
REL607,-0.35,3396,11.096475916278289,0.5598340381140422,0.01328830127389666,0.0019594040742729434,0.0074392433618415375,8033.733641837356,8033.7356813199995,0.002039482643340307,True
REL607,-0.4,3434,11.923485892502104,0.569099844899082,0.013344092234738468,0.0021231531017676885,0.007594120821108708,7916.56349056667,7916.56598923025,0.002498663579899585,True
REL607,-0.45,3462,12.476266156246695,0.574936889572023,0.0133885885682257,0.002236424404475634,0.00769759346717523,7823.820085894863,7823.821152087176,0.0010661923133739037,True
