dataset,N,error_min,error_median,error_mean,error_max,flat_n,flat_r,flat_sigma,n,r,sigma,n_sigma2,r_sigma,loglik,reoptimization_delta_loglik,conditional_pit_ks,observed_positive_fraction,predicted_positive_fraction,positive_fraction_residual,boundary_hits,error_node_check_delta_loglik
Ara-1,3449,0.0016960163283987004,0.008048030553683111,0.01090304869014437,0.10707914024084099,3.566193653830434,0.2550410645445826,0.022630123705403488,2.644300024721774,0.2160564668156341,0.018751111100198226,0.0009297469087913138,0.004051298813176246,8734.034172849646,54.24435246529356,0.06130973031628134,0.4804291098869237,0.43113173713618863,0.04929737275073509,,0.2645647704030125
Ara-3,3214,0.0010810839959119894,0.00556739190737764,0.007955534302645222,0.1063266063783393,2.0,0.17794570920202551,0.03293361370734201,2.0,0.1839628006417096,0.03170001661334145,0.0020097821065722483,0.005831623836579016,8261.568027677684,4.04049695696267,0.1456106154935325,0.5497822028624767,0.40959699564141844,0.14018520722105826,n,0.1391459223905258
Ara-4,3353,0.0013058650310096246,0.00647015356956094,0.008954249703615559,0.0772535347864633,2.000095545944686,0.18689001273468658,0.03234434653643458,2.0,0.1813902466738017,0.027769568209543044,0.0015422978370889275,0.005037128827553975,8485.21015832339,9.44630452965248,0.13644942040558433,0.5508499850879809,0.41765697114741424,0.13319301394056665,n,0.0551545282069128
Ara-5,3432,0.001283249828362717,0.006016450246366977,0.008538531765922626,0.07128598782827522,2.0072293345639096,0.1827668882431404,0.03414636581258823,2.0,0.18375801845835055,0.03260788240325257,0.0021265479896486967,0.005991959856544609,8662.45652927268,3.075016671578851,0.08177729994356453,0.483974358974359,0.40791938711533693,0.07605497185902205,n,0.12752161511889426
Ara-6,3408,0.0016626938594058419,0.0077492737258366235,0.009797158256675204,0.08195570358685522,2.0015852372848264,0.2420292581982702,0.03727482268140821,2.0,0.23369089609068613,0.027202572001230732,0.0014799598469642842,0.006356993426939019,8154.077455976079,36.69422310796017,0.06436050364729651,0.49735915492957744,0.43498402175411033,0.06237513317546711,n,-0.040996032525072224
Ara+1,3346,0.001309877675264241,0.005262683380522733,0.00746536191050524,0.08398845783209573,13.173636651805154,0.37151573785202757,0.010329875982838015,6.718707762716123,0.29786725281964355,0.012173229337890687,0.0009956285906578966,0.0036260063808209874,8767.4045494325,14.875555728216568,0.0631700524564629,0.4572624028690974,0.4055864543135891,0.05167594855550833,,0.2043164010210603
Ara+2,3386,0.002010663115803096,0.007701166310618259,0.009816283495034476,0.07778630652093432,3.735879834847542,0.24468343158922462,0.029829526353677766,3.8789916422712998,0.23893054483895843,0.022909239405723092,0.002035823790913028,0.005473717053055554,8201.988676786954,35.15013941449706,0.038433111083115645,0.36798582398109864,0.3913198784130603,-0.02333405443196168,,0.14930456546790083
Ara+3,3392,0.0021516948551673653,0.007878870555656756,0.010349342575900946,0.07504076939354165,2.000108194486772,0.19223432025036574,0.03942641590633534,2.0,0.19400199758352502,0.0292391326282818,0.0017098537537085067,0.005672450137496293,8096.144461387645,17.308570229150064,0.0631315677582901,0.46226415094339623,0.4193269089017252,0.04293724204167104,n,0.005558198165999784
Ara+5,3332,0.0014182837066102542,0.00745574900954557,0.009720043737331865,0.12263649599798329,2.1063291541716906,0.22387418939904527,0.032048942379273825,2.6175007068456106,0.2503017315854067,0.02299684133045408,0.0013842775803272586,0.005756149206007505,8097.392805285888,18.032735219231654,0.04346497105445153,0.45738295318127253,0.4268366420495133,0.030546311131759207,,0.21177519071625284
Ara+6,3425,0.0007932883150452131,0.008675605859253387,0.011797730271780583,0.10606307690234279,273.55413861077017,2.4006527501059036,0.0048874757558344355,198.11448553879873,1.9561703718604617,0.004773252746801352,0.0045138289052508345,0.009337295600694372,6929.589091841185,30.83393954290932,0.046413332952611644,0.32204379562043794,0.3482200676865014,-0.026176272066063433,,-0.5564222241700918
