background,overall_mu_fixed,individual_mu,individual_r_squared,common_mu_r_squared,common_mu_log_rmse,common_mu_max_abs_relative_residual,common_to_individual_sse_ratio
REL606,0.5266549219919693,0.589866999519817,0.9974993302544551,0.9860440810644487,0.028272929492679583,0.05696683744806186,5.580872468431645
REL607,0.5266549219919693,0.5827261014852416,0.9981562040535953,0.9889145660895015,0.024884869194851136,0.044000452959519265,6.012288904373786
Ara-1,0.5266549219919693,0.49818425268991756,0.9980502234259881,0.9947905975351943,0.014584836018724142,0.035891539339298006,2.671794570844985
Ara-3,0.5266549219919693,0.36240841035088933,0.9994276717722094,0.7941474333245968,0.06664913594027941,0.127987630693573,359.6757187218381
Ara-4,0.5266549219919693,0.4150783081120419,0.9983149199527919,0.926178623623107,0.04573841635801226,0.08492832899307956,43.80882469007956
Ara-5,0.5266549219919693,0.5119804282442272,0.9986130972091432,0.997792713941088,0.009753889653318549,0.024717872746647274,1.591521823637175
Ara-6,0.5266549219919693,0.5692024004725851,0.9985553276185555,0.992975942473188,0.019344988850620488,0.048506559876338784,4.862041814482948
Ara+1,0.5266549219919693,0.4680763287078596,0.9974705947521518,0.981848307446109,0.025586977602399835,0.05029318627520807,7.1762690337316775
Ara+2,0.5266549219919693,0.6393589407756765,0.9990698152054927,0.9680252803521026,0.046349386915790394,0.07077003272892446,34.37458861583708
Ara+3,0.5266549219919693,0.48045102831409503,0.997416587950079,0.988192244094314,0.02118304138713042,0.055819709959199826,4.57060495093965
Ara+5,0.5266549219919693,0.5599124525300843,0.9974258332057478,0.993906824376143,0.017733541097351483,0.03855456214718522,2.36704771324944
Ara+6,0.5266549219919693,0.6426134127011969,0.9966655548948159,0.964212544766139,0.049343990423117504,0.10374337365403985,10.73265689041397
