background,mu,mu_ci_low,mu_ci_high,loglog_r_squared,n_measured,n_negative,tail_count_at_x_0.01,tail_count_at_x_0.04
REL606,0.589866999519817,0.5397084338927101,0.6470574020496287,0.9974993302544551,3499,2019,1093,495
REL607,0.5827261014852416,0.5314326381658433,0.6368019115576276,0.9981562040535953,3509,1958,1141,532
Ara-1,0.49818425268991756,0.4518807356089303,0.5483599241059803,0.9980502234259881,3523,1866,993,503
Ara-3,0.36240841035088933,0.32569240281246287,0.406302665394829,0.9994276717722094,3349,1582,891,541
Ara-4,0.4150783081120419,0.3707737778252537,0.4649482445914493,0.9983149199527919,3388,1541,841,472
Ara-5,0.5119804282442272,0.4671467986179222,0.564490144119452,0.9986130972091432,3479,1818,953,474
Ara-6,0.5692024004725851,0.5180575257624287,0.6202706824087847,0.9985553276185555,3447,1752,1027,466
Ara+1,0.4680763287078596,0.41916840800741534,0.5202735622220956,0.9974705947521518,3353,1823,854,447
Ara+2,0.6393589407756765,0.5899706732233921,0.6942922348123087,0.9990698152054927,3448,2202,1202,509
Ara+3,0.48045102831409503,0.43786697679872677,0.5256595353956338,0.997416587950079,3479,1911,1075,567
Ara+5,0.5599124525300843,0.5091324026923367,0.6140212920853028,0.9974258332057478,3400,1876,1025,478
Ara+6,0.6426134127011969,0.598381632317944,0.6869639487312317,0.9966655548948159,3521,2418,1689,711
ALL_COMMON_FIXED_INTERCEPTS,0.5266549219919693,0.5135086464915536,0.5416949550342196,0.9739193586524852,41395,22766,12784,6195
EVOLVED_COMMON_FIXED_INTERCEPTS,0.5147265962898573,0.500237467300526,0.5309559034655513,0.9710211532621895,34387,18789,10550,5168
REL_COMMON_FIXED_INTERCEPTS,0.5862965505025293,0.5500718973160387,0.6264298013049999,0.9977866549593127,7008,3977,2234,1027
