background,x,s,tail_count,short_common_mu_extrapolated_count,full_range_fit_count
REL606,0.01,-0.01,1093,1046.2754864600338,1286.6374804640777
REL606,0.010220954442778263,-0.010220954442778263,1078,1034.301917939534,1267.2297353709714
REL606,0.010446790972134875,-0.010446790972134875,1069,1022.4653748439526,1248.114738293772
REL606,0.01067761745994178,-0.01067761745994178,1058,1010.764289055396,1229.2880733974428
REL606,0.010913544161547873,-0.010913544161547873,1042,999.1971104014945,1210.7453914557589
REL606,0.011154683768442948,-0.011154683768442948,1027,987.7623064500451,1192.4824088465841
REL606,0.011401151462085358,-0.011401151462085358,1014,976.4583623059821,1174.4949065622875
REL606,0.011653064968918922,-0.011653064968918922,1000,965.2837804106877,1156.7787292350959
REL606,0.011910544616605566,-0.011910544616605566,986,954.237080343595,1139.3297841771407
REL606,0.012173713391500337,-0.012173713391500337,965,943.3167986260588,1122.1440404349964
REL606,0.012442696997396458,-0.012442696997396458,951,932.5214885274694,1105.2175278584648
REL606,0.012717623915568315,-0.012717623915568315,937,921.8497198735934,1088.5463361834215
REL606,0.012998625466141105,-0.012998625466141105,924,911.3000788571003,1072.126614128486
REL606,0.013285835870816564,-0.013285835870816564,907,900.871167850257,1055.9545685053185
REL606,0.013579392316984537,-0.013579392316984537,899,890.5616052197742,1040.0264633423474
REL606,0.013879435023251218,-0.013879435023251218,890,880.3700251437627,1024.3386190216968
REL606,0.014186107306415174,-0.014186107306415174,883,870.2950774307863,1008.8874114291524
REL606,0.014499555649923342,-0.014499555649923342,874,860.3354273409911,993.6692711169336
REL606,0.014819929773839462,-0.014819929773839462,863,850.4897554092762,978.6806824791043
REL606,0.015147382706358637,-0.015147382706358637,855,840.7567572704871,963.9181829394112
REL606,0.015482070856901894,-0.015482070856901894,845,831.1351434866142,949.3783621513894
REL606,0.015824154090825927,-0.015824154090825927,837,821.6236393759677,935.0578612105182
REL606,0.016173795805783514,-0.016173795805783514,831,812.2209848443055,920.9533718782671
REL606,0.016531163009771144,-0.016531163009771144,817,802.9259342178915,907.0616358178484
REL606,0.016896426400901214,-0.016896426400901214,807,793.7372560784727,893.3794438414882
REL606,0.017269760448936716,-0.017269760448936716,799,784.653733100137,879.9036351690687
REL606,0.017651343478627613,-0.017651343478627613,791,775.674161888038,866.6310966979366
REL606,0.018041357754888403,-0.018041357754888403,783,766.7973528189734,853.5587622837346
REL606,0.018439989569857877,-0.018439989569857877,774,758.0221298837789,840.6836120320755
REL606,0.018847429331882368,-0.018847429331882368,766,749.3473305315281,828.0026716009096
REL606,0.019263871656465252,-0.019263871656465252,757,740.7718055155204,815.5130115134028
REL606,0.019689515459225874,-0.019689515459225874,748,732.2944187410255,803.211746481192
REL606,0.020124564050912598,-0.020124564050912598,734,723.914047114771,791.0960347378398
REL606,0.02056922523451509,-0.02056922523451509,722,715.6295803961546,779.1630773823442
REL606,0.02102371140452239,-0.02102371140452239,715,707.4399210501624,767.4101177325574
REL606,0.021488239648374114,-0.021488239648374114,709,699.3439841019584,755.8344406883505
REL606,0.021963031850153338,-0.021963031850153338,694,691.340696993153,744.4333721043854
REL606,0.022448314796570536,-0.022448314796570536,686,683.4289994397056,733.2042781723533
REL606,0.02294432028528926,-0.02294432028528926,674,675.6078432914571,722.1445648125252
REL606,0.02345128523564548,-0.02345128523564548,663,667.8761923932718,711.2516770744816
REL606,0.023969451801813094,-0.023969451801813094,653,660.2330224477654,700.5230985468864
REL606,0.024499067488470107,-0.024499067488470107,640,652.6773208796033,689.9563507761562
REL606,0.025040385269020304,-0.025040385269020304,631,645.2080867013574,679.5489926939057
REL606,0.025593663706427242,-0.025593663706427242,626,637.8243303808894,669.298620053025
REL606,0.026159167076718042,-0.026159167076718042,622,630.5250737102613,659.2028648722631
REL606,0.026737165495216025,-0.026737165495216025,609,623.309349676138,649.2593948891939
REL606,0.02732793504556259,-0.02732793504556259,601,616.1762023316785,639.4659130214267
REL606,0.02793175791158987,-0.02793175791158987,588,609.1246866698887,629.8201568359511
REL606,0.028548922512107153,-0.028548922512107153,582,602.153868498427,620.3198980264812
REL606,0.029179723638665393,-0.029179723638665393,573,595.2628243158431,610.9629418986862
REL606,0.029824462596365908,-0.029824462596365908,555,588.4506411892299,601.7471268631815
REL606,0.030483447347780024,-0.030483447347780024,551,581.7164166332759,592.6703239361767
REL606,0.03115699266004896,-0.03115699266004896,547,575.059258490706,583.7304362476461
REL606,0.031845420255233715,-0.031845420255233715,543,568.478284814086,574.9253985569234
REL606,0.03254905896398719,-0.03254905896398719,535,561.9726237489797,566.2531767756018
REL606,0.033268244882621666,-0.033268244882621666,532,555.5414134184477,557.7117674976297
REL606,0.03400332153364673,-0.03400332153364673,531,549.183801808864,549.2991975364963
REL606,0.03475464002985443,-0.03475464002985443,523,542.8989466570381,541.0135234693988
REL606,0.03552255924202998,-0.03552255924202998,514,536.6860153386348,532.8528311882831
REL606,0.03630744597036806,-0.03630744597036806,511,530.5441847578634,524.8152354576561
REL606,0.037109675119676507,-0.037109675119676507,508,524.4726412384371,516.898879479073
REL606,0.037929629878451554,-0.037929629878451554,504,518.4705804157721,509.10193446218733
REL606,0.03876770190190947,-0.03876770190190947,502,512.5372071304283,501.42259920227696
REL606,0.03962429149906251,-0.03962429149906251,496,506.6717353227633,493.85909966413885
REL606,0.04049980782392839,-0.04049980782392839,492,500.87338792879575,486.4096885722628
REL606,0.041394669070964674,-0.041394669070964674,487,495.141396777257,479.0726450071843
REL606,0.04230930267482125,-0.04230930267482125,477,489.47500248782626,471.84627400792925
REL606,0.04324414551450647,-0.04324414551450647,474,483.87345437052346,464.7289061804543
REL606,0.04419964412206445,-0.04419964412206445,467,478.33601032626007,457.71889731199224
