background,bin_left,bin_right,bin_center,count,n_measured,n_window
REL606,-0.5,-0.495,-0.4975,0,3499,3161
REL606,-0.495,-0.49,-0.4925,5,3499,3161
REL606,-0.49,-0.485,-0.4875,5,3499,3161
REL606,-0.485,-0.48,-0.4825,2,3499,3161
REL606,-0.48,-0.475,-0.4775,0,3499,3161
REL606,-0.475,-0.47,-0.4725,3,3499,3161
REL606,-0.47,-0.46499999999999997,-0.46749999999999997,5,3499,3161
REL606,-0.46499999999999997,-0.46,-0.4625,3,3499,3161
REL606,-0.46,-0.455,-0.4575,7,3499,3161
REL606,-0.455,-0.45,-0.4525,5,3499,3161
REL606,-0.45,-0.445,-0.4475,5,3499,3161
REL606,-0.445,-0.44,-0.4425,1,3499,3161
REL606,-0.44,-0.435,-0.4375,6,3499,3161
REL606,-0.435,-0.43,-0.4325,4,3499,3161
REL606,-0.43,-0.425,-0.4275,3,3499,3161
REL606,-0.425,-0.42,-0.4225,1,3499,3161
REL606,-0.42,-0.415,-0.4175,3,3499,3161
REL606,-0.415,-0.41000000000000003,-0.4125,2,3499,3161
REL606,-0.41000000000000003,-0.405,-0.40750000000000003,5,3499,3161
REL606,-0.405,-0.4,-0.4025,2,3499,3161
REL606,-0.4,-0.395,-0.3975,0,3499,3161
REL606,-0.395,-0.39,-0.3925,5,3499,3161
REL606,-0.39,-0.385,-0.3875,0,3499,3161
REL606,-0.385,-0.38,-0.3825,4,3499,3161
REL606,-0.38,-0.375,-0.3775,3,3499,3161
REL606,-0.375,-0.37,-0.3725,4,3499,3161
REL606,-0.37,-0.365,-0.3675,2,3499,3161
REL606,-0.365,-0.36,-0.3625,3,3499,3161
REL606,-0.36,-0.355,-0.3575,1,3499,3161
REL606,-0.355,-0.35,-0.3525,1,3499,3161
REL606,-0.35,-0.345,-0.3475,4,3499,3161
REL606,-0.345,-0.33999999999999997,-0.34249999999999997,5,3499,3161
REL606,-0.33999999999999997,-0.33499999999999996,-0.33749999999999997,3,3499,3161
REL606,-0.33499999999999996,-0.32999999999999996,-0.33249999999999996,2,3499,3161
REL606,-0.32999999999999996,-0.32499999999999996,-0.32749999999999996,2,3499,3161
REL606,-0.32499999999999996,-0.32,-0.3225,3,3499,3161
REL606,-0.32,-0.315,-0.3175,2,3499,3161
REL606,-0.315,-0.31,-0.3125,6,3499,3161
REL606,-0.31,-0.305,-0.3075,3,3499,3161
REL606,-0.305,-0.3,-0.3025,3,3499,3161
REL606,-0.3,-0.295,-0.2975,5,3499,3161
REL606,-0.295,-0.29000000000000004,-0.2925,4,3499,3161
REL606,-0.29000000000000004,-0.28500000000000003,-0.28750000000000003,7,3499,3161
REL606,-0.28500000000000003,-0.28,-0.28250000000000003,1,3499,3161
REL606,-0.28,-0.275,-0.2775,1,3499,3161
REL606,-0.275,-0.27,-0.2725,3,3499,3161
REL606,-0.27,-0.265,-0.2675,2,3499,3161
REL606,-0.265,-0.26,-0.2625,4,3499,3161
REL606,-0.26,-0.255,-0.2575,4,3499,3161
REL606,-0.255,-0.25,-0.2525,7,3499,3161
REL606,-0.25,-0.245,-0.2475,3,3499,3161
REL606,-0.245,-0.24,-0.2425,1,3499,3161
REL606,-0.24,-0.235,-0.2375,4,3499,3161
REL606,-0.235,-0.22999999999999998,-0.23249999999999998,4,3499,3161
REL606,-0.22999999999999998,-0.22499999999999998,-0.22749999999999998,5,3499,3161
REL606,-0.22499999999999998,-0.21999999999999997,-0.22249999999999998,5,3499,3161
REL606,-0.21999999999999997,-0.21499999999999997,-0.21749999999999997,4,3499,3161
REL606,-0.21499999999999997,-0.21000000000000002,-0.2125,5,3499,3161
REL606,-0.21000000000000002,-0.20500000000000002,-0.20750000000000002,3,3499,3161
REL606,-0.20500000000000002,-0.2,-0.2025,9,3499,3161
REL606,-0.2,-0.195,-0.1975,2,3499,3161
REL606,-0.195,-0.19,-0.1925,5,3499,3161
REL606,-0.19,-0.185,-0.1875,8,3499,3161
REL606,-0.185,-0.18,-0.1825,0,3499,3161
REL606,-0.18,-0.175,-0.1775,4,3499,3161
REL606,-0.175,-0.16999999999999998,-0.1725,5,3499,3161
REL606,-0.16999999999999998,-0.16499999999999998,-0.16749999999999998,3,3499,3161
REL606,-0.16499999999999998,-0.15999999999999998,-0.16249999999999998,3,3499,3161
REL606,-0.15999999999999998,-0.15499999999999997,-0.15749999999999997,6,3499,3161
REL606,-0.15499999999999997,-0.14999999999999997,-0.15249999999999997,8,3499,3161
REL606,-0.14999999999999997,-0.14500000000000002,-0.1475,2,3499,3161
REL606,-0.14500000000000002,-0.14,-0.14250000000000002,3,3499,3161
REL606,-0.14,-0.135,-0.1375,7,3499,3161
REL606,-0.135,-0.13,-0.1325,3,3499,3161
REL606,-0.13,-0.125,-0.1275,5,3499,3161
REL606,-0.125,-0.12,-0.1225,7,3499,3161
REL606,-0.12,-0.11499999999999999,-0.1175,5,3499,3161
REL606,-0.11499999999999999,-0.10999999999999999,-0.11249999999999999,10,3499,3161
REL606,-0.10999999999999999,-0.10499999999999998,-0.10749999999999998,7,3499,3161
REL606,-0.10499999999999998,-0.09999999999999998,-0.10249999999999998,11,3499,3161
REL606,-0.09999999999999998,-0.09499999999999997,-0.09749999999999998,9,3499,3161
REL606,-0.09499999999999997,-0.08999999999999997,-0.09249999999999997,8,3499,3161
REL606,-0.08999999999999997,-0.08499999999999996,-0.08749999999999997,14,3499,3161
REL606,-0.08499999999999996,-0.08000000000000002,-0.08249999999999999,6,3499,3161
REL606,-0.08000000000000002,-0.07500000000000001,-0.07750000000000001,12,3499,3161
REL606,-0.07500000000000001,-0.07,-0.07250000000000001,4,3499,3161
REL606,-0.07,-0.065,-0.0675,10,3499,3161
REL606,-0.065,-0.06,-0.0625,18,3499,3161
REL606,-0.06,-0.05499999999999999,-0.057499999999999996,16,3499,3161
REL606,-0.05499999999999999,-0.04999999999999999,-0.05249999999999999,16,3499,3161
REL606,-0.04999999999999999,-0.044999999999999984,-0.04749999999999999,29,3499,3161
REL606,-0.044999999999999984,-0.03999999999999998,-0.04249999999999998,34,3499,3161
REL606,-0.03999999999999998,-0.034999999999999976,-0.03749999999999998,26,3499,3161
REL606,-0.034999999999999976,-0.02999999999999997,-0.03249999999999997,33,3499,3161
