dataset,N,mu,n,r,sigma,n_sigma2,r_sigma,loglik,comparison_loglik_mu045,mu050_n,mu050_r,mu050_sigma,mu050_recomputed_loglik,delta_loglik_vs_mu050,conditional_pit_ks,observed_positive_fraction,predicted_positive_fraction,positive_fraction_residual,boundary_hits,error_node_check_delta_loglik
Ara-1,3449,0.45,2.9170630943151887,0.22992547547387546,0.014725901596035701,0.0006325714848292984,0.00338585992625001,8761.017137502613,8761.017137502613,2.642383201046059,0.21598824837249103,0.018747936240585537,8734.320716543685,26.696420958927774,0.05805756244483756,0.4804291098869237,0.4325790662969444,0.047850043589979296,,-0.013854787714080885
Ara-3,3214,0.45,2.0,0.18718758536937663,0.026099173204500833,0.0013623336839170685,0.004885441212287647,8284.608103915049,8284.608103915049,2.0,0.1839628006417096,0.03170001661334145,8262.576562013215,22.031541901833407,0.13918722977808612,0.5497822028624767,0.414742471463998,0.1350397313984787,n,-0.6936949133087182
Ara-4,3353,0.45,2.0,0.1807503031708894,0.02628649890393185,0.001381960049252821,0.004751292646186934,8509.733186425068,8509.733186425068,2.0,0.1812898666858442,0.027773889064426495,8486.046309917694,23.68687650737411,0.1420100316702652,0.5508499850879809,0.4122944939310567,0.13855549115692417,n,-0.8835312411338236
Ara-5,3432,0.45,2.0,0.18708754398543553,0.0269179363642923,0.0014491505962241798,0.005036010603551691,8678.603362960199,8678.603362960199,2.0,0.18276225234838622,0.03265437329701639,8661.39600268385,17.20736027634848,0.07729519024009346,0.483974358974359,0.4130558877474837,0.07091847122687528,n,-0.6623314775170002
Ara-6,3408,0.45,2.0011623029862435,0.2281368995444228,0.026820737090675548,0.0014395399810800769,0.006118799803362822,8167.596169756764,8167.596169756764,2.0,0.23212744751488093,0.02725290585749895,8154.426815029315,13.16935472744899,0.07344941084116441,0.49735915492957744,0.4269012771923791,0.07045787773719836,n,-0.1253729109712367
Ara+1,3346,0.45,6.537088970908728,0.2999500484717969,0.010594144780058759,0.0007336960876998089,0.003177714240295859,8800.701936269827,8800.701936269827,6.716730598123831,0.2978059644672135,0.012175820075775367,8767.610397193117,33.09153907670952,0.0602631079375963,0.4572624028690974,0.40786288724095116,0.04939951562814626,,0.0025278786506532924
Ara+2,3386,0.45,3.6298659159357647,0.2380018774703008,0.01999046954133836,0.0014505629245913638,0.0047577692823513925,8218.731280383105,8218.731280383105,3.8789916422604778,0.23893054483713974,0.022909239405765985,8202.136115976791,16.595164406313415,0.03701368275472937,0.36798582398109864,0.39774399159750445,-0.029758167616405817,,0.0021664062587660737
Ara+3,3392,0.45,2.0,0.1910376257106477,0.026561546597715247,0.0014110315153251969,0.005074254797230253,8123.829518702193,8123.829518702193,2.0,0.19311951018289894,0.02927554715584392,8096.875395089195,26.954123612998046,0.06615423923691421,0.46226415094339623,0.41610901102747827,0.046155139915917964,n,0.9026783297367729
Ara+5,3332,0.45,2.414772044022466,0.24727003894109223,0.02029360077515278,0.0009944761321341853,0.0050179994539270075,8115.9822831867605,8115.9822831867605,2.5941094227011634,0.24970687263743116,0.023005366613857256,8097.638187571558,18.344095615202605,0.041713913415321505,0.45738295318127253,0.4312178237457612,0.02616512943551136,,-0.003592300825403072
Ara+6,3425,0.45,257.16657820937814,2.2761681914099405,0.003711582184656262,0.003542686229703893,0.008448185308518399,6940.024413189329,6940.024413189329,216.0668552341287,2.0519287161695754,0.00453318810812464,6928.761872368172,11.262540821157017,0.04421806689573794,0.32204379562043794,0.35207086713111196,-0.03002707151067402,,0.03656231242530339
