locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJKNNBLA_00001	CDS	2463				[gene=thrA] [locus_tag=b0002] [db_xref=UniProtKB/Swiss-Prot:P00561] [protein=fused aspartate kinase/homoserine dehydrogenase 1] [protein_id=AAC73113.1][location=337..2799] [gbkey=CDS]
FJKNNBLA_00002	CDS	933				[gene=thrB] [locus_tag=b0003] [db_xref=UniProtKB/Swiss-Prot:P00547] [protein=homoserine kinase][protein_id=AAC73114.1] [location=2801..3733] [gbkey=CDS]
FJKNNBLA_00003	CDS	1287				[gene=thrC] [locus_tag=b0004] [db_xref=UniProtKB/Swiss-Prot:P00934] [protein=threonine synthase][protein_id=AAC73115.1] [location=3734..5020] [gbkey=CDS]
FJKNNBLA_00004	CDS	297				hypothetical protein
FJKNNBLA_00005	CDS	777				[gene=yaaA] [locus_tag=b0006] [db_xref=UniProtKB/Swiss-Prot:P0A8I3] [protein=peroxide stress resistance protein YaaA] [protein_id=AAC73117.1] [location=complement(5683..6459)][gbkey=CDS]
FJKNNBLA_00006	CDS	1431				[gene=yaaJ] [locus_tag=b0007] [db_xref=UniProtKB/Swiss-Prot:P30143] [protein=putative transporter YaaJ] [protein_id=AAC73118.1] [location=complement(6529..7959)][gbkey=CDS]
FJKNNBLA_00007	CDS	954				[gene=talB] [locus_tag=b0008] [db_xref=UniProtKB/Swiss-Prot:P0A870] [protein=transaldolase B] [protein_id=AAC73119.1] [location=8238..9191] [gbkey=CDS]
FJKNNBLA_00008	CDS	588				[gene=mog] [locus_tag=b0009] [db_xref=UniProtKB/Swiss-Prot:P0AF03] [protein=molybdopterin adenylyltransferase] [protein_id=AAC73120.1] [location=9306..9893][gbkey=CDS]
FJKNNBLA_00009	CDS	567				[gene=satP] [locus_tag=b0010] [db_xref=UniProtKB/Swiss-Prot:P0AC98] [protein=acetate/succinate:H(+)symporter] [protein_id=AAC73121.1] [location=complement(9928..10494)][gbkey=CDS]
FJKNNBLA_00010	CDS	714				[gene=yaaW] [locus_tag=b0011] [db_xref=UniProtKB/Swiss-Prot:P75617] [protein=putative enzyme-specific chaperone YaaW] [protein_id=AAC73122.1] [location=complement(10643..11356)][gbkey=CDS]
FJKNNBLA_00011	CDS	405				hypothetical protein
FJKNNBLA_00012	CDS	1917				[gene=dnaK] [locus_tag=b0014] [db_xref=UniProtKB/Swiss-Prot:P0A6Y8] [protein=chaperone protein DnaK] [protein_id=AAC73125.1] [location=12163..14079][gbkey=CDS]
FJKNNBLA_00013	CDS	1131				[gene=dnaJ] [locus_tag=b0015] [db_xref=UniProtKB/Swiss-Prot:P08622] [protein=chaperone protein DnaJ] [protein_id=AAC73126.1] [location=14168..15298][gbkey=CDS]
