,gene,populations where gene becomes nonessential over evolution,protein product
0,glpD,'Ara+6',aerobic glycerol 3-phosphate dehydrogenase
1,epd,'Ara–3',D-erythrose-4-phosphate dehydrogenase
2,ycfZ,'Ara+5',putative inner membrane protein
3,nhaA,"'Ara–1', 'Ara+3', 'Ara–6', 'Ara–5'",Na(+):H(+) antiporter NhaA
4,cmtB,"'Ara+6', 'Ara–6'",mannitol-specific PTS enzyme IIA component CmtB
5,dedD,"'Ara–5', 'Ara+3', 'Ara–4'",cell division protein DedD
6,dacA,'Ara+6',D-alanyl-D-alanine carboxypeptidase DacA
7,rlmH,"'Ara+2', 'Ara+6'",23S rRNA m(3)psi1915 methyltransferase
8,rsfS,'Ara+2',ribosomal silencing factor RsfS
9,minE,"'Ara–1', 'Ara+3', 'Ara+5'",Z-ring positioning protein MinE
10,minD,"'Ara–5', 'Ara–4'",Z-ring positioning protein MinD
11,nhaB,'Ara+1',Na(+):H(+)antiporter NhaB
12,ldcA,"'Ara+6', 'Ara–5'","murein L,D-carboxypeptidase"
13,nagA,'Ara+6',N-acetylglucosamine-6-phosphate deacetylase
14,gdhA,"'Ara–3', 'Ara–1', 'Ara–6'",glutamate dehydrogenase
15,kdsB,'Ara+6',3-deoxy-manno-octulosonate cytidylyltransferase
16,cra,'Ara+6',DNA-binding transcriptional dual regulator Cra
17,rsmH,'Ara+2',16S rRNA m(4)C1402 methyltransferase
18,chaA,'Ara+1',Na(+)/K(+):H(+)antiporter ChaA
19,secM,'Ara–6',SecA translation regulator
20,sdhA,'Ara–3',"succinate:quinone oxidoreductase, FAD binding protein"
21,sucD,'Ara+5',succinyl-CoA synthetase subunit alpha
22,yciE,"'Ara+6', 'Ara–4'",DUF892 domain-containing protein YciE
23,prc,"'Ara–3', 'Ara+6'",tail-specific protease
24,ftsP,"'Ara–3', 'Ara+3', 'Ara+5'",cell division protein required during stress conditions
25,ytcA,'Ara+2',putative lipoprotein YtcA
26,eda,"'Ara+3', 'Ara–4'",KHG/KDPG aldolase
27,sapF,'Ara–4',putrescine ABC exporter ATP binding protein SapF
28,lpxM,"'Ara–5', 'Ara–4', 'Ara+5'",Lipid A biosynthesis myristoyltransferase
